# KangXi Dictionary Index
# 
# * … Subordinate characters.
# # … Comments
#
# Warning:  1586ページ以降はまだ適当に並べただけ。
# 
KX0126.025	𠓽
KX0126.026	八
KX0126.027	𠔀
KX0126.028	公
KX0127.001	六
KX0127.002	𠔁
KX0127.003	兮
KX0127.004	𠔅
KX0127.005	共
KX0127.006	𦱹
KX0127.007	关	# ⿱八天
KX0127.008	𠔈
KX0127.009	兲
KX0127.010	兵
KX0127.011	𠈯*
KX0127.012	𠡿*
KX0127.013	𠔊
KX0127.014	𠔋
KX0127.015	𠔌
KX0127.016	㒵
KX0127.017	㒶
KX0127.018	其
KX0128.001	具
KX0128.002	典
KX0128.003	𥮏*
KX0128.004	𠔐
KX0128.005	㒸
KX0128.006	𠔒
KX0128.007	𠔓
KX0128.008	𠔔
KX0128.009	𠔕
KX0128.010	𠔖
KX0128.011	兼
KX0128.012	𥡝*
KX0128.013	𠔙
KX0128.014	𠔚
KX0128.015	𠔛
KX0128.016	𠔜
KX0128.017	𠔞
KX0128.018	𠔟
KX0128.019	𠔠
KX0128.020	兾
KX0128.021	𠔨
KX0128.022	𠔯
KX0128.023	𠔰
KX0128.024	冀
KX0128.025	𠔶
KX0128.026	𠔸
KX0128.027	𠔹
KX0128.028	㒹
KX0128.029	㒹
KX0128.030	冂
